fid,id,pid,mid,sex,sexf,pop,reg,population,region
HG00096,HG00096,0,0,1,male,GBR,EUR,British in England and Scotland,Europe
HG00097,HG00097,0,0,2,female,GBR,EUR,British in England and Scotland,Europe
HG00099,HG00099,0,0,2,female,GBR,EUR,British in England and Scotland,Europe
HG00100,HG00100,0,0,2,female,GBR,EUR,British in England and Scotland,Europe
HG00101,HG00101,0,0,1,male,GBR,EUR,British in England and Scotland,Europe
HG00102,HG00102,0,0,2,female,GBR,EUR,British in England and Scotland,Europe
HG00103,HG00103,0,0,1,male,GBR,EUR,British in England and Scotland,Europe
HG00105,HG00105,0,0,1,male,GBR,EUR,British in England and Scotland,Europe
HG00106,HG00106,0,0,2,female,GBR,EUR,British in England and Scotland,Europe
HG00107,HG00107,0,0,1,male,GBR,EUR,British in England and Scotland,Europe
HG00108,HG00108,0,0,1,male,GBR,EUR,British in England and Scotland,Europe
HG00109,HG00109,0,0,1,male,GBR,EUR,British in England and Scotland,Europe
HG00110,HG00110,0,0,2,female,GBR,EUR,British in England and Scotland,Europe
HG00111,HG00111,0,0,2,female,GBR,EUR,British in England and Scotland,Europe
HG00112,HG00112,0,0,1,male,GBR,EUR,British in England and Scotland,Europe
HG00113,HG00113,0,0,1,male,GBR,EUR,British in England and Scotland,Europe
HG00114,HG00114,0,0,1,male,GBR,EUR,British in England and Scotland,Europe
HG00115,HG00115,0,0,1,male,GBR,EUR,British in England and Scotland,Europe
HG00116,HG00116,0,0,1,male,GBR,EUR,British in England and Scotland,Europe
HG00117,HG00117,0,0,1,male,GBR,EUR,British in England and Scotland,Europe
HG00118,HG00118,0,0,2,female,GBR,EUR,British in England and Scotland,Europe
HG00119,HG00119,0,0,1,male,GBR,EUR,British in England and Scotland,Europe
HG00120,HG00120,0,0,2,female,GBR,EUR,British in England and Scotland,Europe
HG00121,HG00121,0,0,2,female,GBR,EUR,British in England and Scotland,Europe
HG00122,HG00122,0,0,2,female,GBR,EUR,British in England and Scotland,Europe
HG00123,HG00123,0,0,2,female,GBR,EUR,British in England and Scotland,Europe
HG00125,HG00125,0,0,2,female,GBR,EUR,British in England and Scotland,Europe
HG00126,HG00126,0,0,1,male,GBR,EUR,British in England and Scotland,Europe
HG00127,HG00127,0,0,2,female,GBR,EUR,British in England and Scotland,Europe
HG00128,HG00128,0,0,2,female,GBR,EUR,British in England and Scotland,Europe
HG00129,HG00129,0,0,1,male,GBR,EUR,British in England and Scotland,Europe
HG00130,HG00130,0,0,2,female,GBR,EUR,British in England and Scotland,Europe
HG00131,HG00131,0,0,1,male,GBR,EUR,British in England and Scotland,Europe
HG00132,HG00132,0,0,2,female,GBR,EUR,British in England and Scotland,Europe
